Building Type(0),Space Type(1),Default Schedule(2),Alias(3),Ventilation Name(4),Outdoor Air Flow per Person (m3/s)(5),Outdoor Air Flow per Floor Area(m3/s)(6),Outdoor Air Flow (m3/s)(7),Outdoor Air Flow  Air Changes per Hour (1/h)(8),People Defination(9),People/m2(10),Lights Defination(11),Lights(W/m2)(12),Lights_sch(13),people_act_sch(14),people_sch(15)
Thai Exhibition hall/Gymnasium,TH-2016-Exh/Gym--Corridor,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Corridor,EIT-2016-Exh/Gym--Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Exh/Gym-Corridor-People Definition,0,90.1-2007-Exh-Corridor-Lights Definition,5,Thai Exhibition hall/Gymnasium Light Schedule Ruleset,Thai Exhibition hall/Gymnasium Activity Schedule Ruleset,Thai Exhibition hall/Gymnasium Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Exh/Gym-Office space,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Office space,EIT-2016-Exh/Gym--Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Exh/Gym-Office space-People Definition,0.05,90.1-2007-Exh/Gym--Office space-Lights Definition,12,Thai Exhibition hall/Gymnasium Light Schedule Ruleset,Thai Exhibition hall/Gymnasium Activity Schedule Ruleset,Thai Exhibition hall/Gymnasium Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Exh/Gym--Conference,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Conference,EIT-2016-Exh/Gym--Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Exh/Gym-Conference-People Definition,0.5,90.1-2007-Exh/Gym--Conference-Lights Definition,14,Thai Exhibition hall/Gymnasium Light Schedule Ruleset,Thai Exhibition hall/Gymnasium Activity Schedule Ruleset,Thai Exhibition hall/Gymnasium Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Exh/Gym--Coffee station,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Coffee stations,EIT-2016-Exh/Gym--Coffee stations-Ventilation,0.0025,0.0003,0,0,EIT-2016-Exh/Gym-Coffee station-People Definition,0.2,90.1-2007-Exh/Gym--Coffee station-Lights Definition,15,Thai Exhibition hall/Gymnasium Light Schedule Ruleset,Thai Exhibition hall/Gymnasium Activity Schedule Ruleset,Thai Exhibition hall/Gymnasium Misc Occ
Thai Exhibition hall/Gymnasium,TH-2016-Exh/Gym--Fast food dining,Thai Exhibition hall/Gymnasium Schedule Set,EIT-2016-Exh/Gym--Fast food dining,EIT-2016-Exh/Gym--Fast food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Exh/Gym-Fast food dining-People Definition,1,90.1-2007-Exh/Gym--Fast food dining-Lights Definition,15,Thai Exhibition hall/Gymnasium Light Schedule Ruleset,Thai Exhibition hall/Gymnasium Activity Schedule Ruleset,Thai Exhibition hall/Gymnasium Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Auditorium ,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Auditorium,EIT-2016-Aud-Auditorium-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Auditorium-People Definition,1.5,90.1-2007-Aud-Auditorium-Lights Definition,3,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Places of religious worship,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Places of religious worship,EIT-2016-Aud-Places of religious worship-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Places of religious worship-People Definition,1.2,90.1-2007-Aud-Places of religious worship-Lights Definition,26,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Courtroom,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Courtroom,EIT-2016-Aud-Courtroom-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Courtroom-People Definition,0.7,90.1-2007-Aud-Courtroom-Lights Definition,20,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Legislative chamber,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Legislative chamber,EIT-2016-Aud-Legislative chamber-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Legislative chamber-People Definition,0.5,90.1-2007-Aud-Legislative chamber-Lights Definition,14,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Library,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Library,EIT-2016-Aud-Library-Ventilation,0.0025,0.0006,0,0,EIT-2016-Aud-Library-People Definition,0.1,90.1-2007-Aud-Library-Lights Definition,13,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Lobby,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Lobby,EIT-2016-Aud-Lobby-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Lobby-People Definition,1.5,90.1-2007-Aud-Lobby-Lights Definition,14,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Corridor,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Corridor,EIT-2016-Aud-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Aud-Corridor-People Definition,0,90.1-2007-Aud-Corridor-Lights Definition,5,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Office space,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Office space,EIT-2016-Aud-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Office space-People Definition,0.05,90.1-2007-Aud-Office space-Lights Definition,12,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Conference,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Conference,EIT-2016-Aud-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Conference-People Definition,0.5,90.1-2007-Aud-Conference-Lights Definition,14,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Coffee station,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Coffee stations,EIT-2016-Aud-Coffee stations-Ventilation,0.0025,0.0003,0,0,EIT-2016-Aud-Coffee station-People Definition,0.2,90.1-2007-Aud-Coffee station-Lights Definition,15,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Auditorium/Concert Hall,TH-2016-Aud-Fast food dining,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Fast food dining,EIT-2016-Aud-Fast food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Aud-Fast food dining-People Definition,1,90.1-2007-Aud-Fast food dining-Lights Definition,15,Thai Auditorium/Concert Hall Light Schedule Ruleset,Thai Auditorium/Concert Hall Activity Schedule Ruleset,Thai Auditorium/Concert Hall Misc Occ
Thai Hotel,TH-2016-Hotel-Bedroom/Living room,Thai Hotel Schedule Set,EIT-2016-Hotel-Bedroom/Living room,EIT-2016-Hotel-Bedroom/Living room-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Bedroom/Living room-People Definition,0.1,90.1-2007-Hotel-Bedroom/Living room-Lights Definition,12,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Barracks sleep area,Thai Hotel Schedule Set,EIT-2016-Hotel-Barracks sleep area,EIT-2016-Hotel-Barracks sleep area-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Barracks sleep area-People Definition,0.2,90.1-2007-Hotel-Barracks sleep area-Lights Definition,12,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Laundry ,Thai Hotel Schedule Set,EIT-2016-Hotel-Laundry,EIT-2016-Hotel-Laundry-Ventilation,0.0025,0.0006,0,0,EIT-2016-Hotel-Laundry-People Definition,0.1,90.1-2007-Hotel-Laundry-Lights Definition,6,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Laundry in dwelling unit,Thai Hotel Schedule Set,EIT-2016-Hotel-Laundry in dwelling unit,EIT-2016-Hotel-Laundry in dwelling unit-Ventilation,0.0025,0.0006,0,0,EIT-2016-Hotel-Laundry in dwelling unit-People Definition,0.1,90.1-2007-Hotel-Laundry in dwelling unit -Lights Definition,12,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Lobby,Thai Hotel Schedule Set,EIT-2016-Hotel-Lobby,EIT-2016-Hotel-Lobby-Ventilation,0.0038,0.0003,0,0,EIT-2016-Hotel-Lobby-People Definition,0.3,90.1-2007-Hotel-Lobby-Lights Definition,12,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Multipurpose ,Thai Hotel Schedule Set,EIT-2016-Hotel-Multipurpose,EIT-2016-Hotel-Multipurpose-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Multipurpose-People Definition,1.2,90.1-2007-Hotel-Multipurpose-Lights Definition,14,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Corridor,Thai Hotel Schedule Set,EIT-2016-Hotel-Corridor,EIT-2016-Hotel-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Hotel-Corridor-People Definition,0,90.1-2007-Hotel-Corridor-Lights Definition,5,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Office space,Thai Hotel Schedule Set,EIT-2016-Hotel-Office space,EIT-2016-Hotel-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Office space-People Definition,0.05,90.1-2007-Hotel-Office space-Lights Definition,12,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Conference,Thai Hotel Schedule Set,EIT-2016-Hotel-Conference,EIT-2016-Hotel-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Conference-People Definition,0.5,90.1-2007-Hotel-Conference-Lights Definition,14,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Auditorium ,Thai Hotel Schedule Set,EIT-2016-Hotel-Auditorium,EIT-2016-Hotel-Auditorium-Ventilation,0.0025,0.0003,0,0,EIT-2016-Hotel-Auditorium-People Definition,1.5,90.1-2007-Hotel-Auditorium-Lights Definition,3,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Restaurant-Dining ,Thai Hotel Schedule Set,EIT-2016-Hotel-Restaurant-Dining,EIT-2016-Hotel-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hotel-Restaurant-Dining-People Definition,0.7,90.1-2007-Hotel-Restaurant-Dining-Lights Definition,23,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Cafeteria/Fast-food dining,Thai Hotel Schedule Set,EIT-2016-Hotel-Cafeteria/Fast-food dining,EIT-2016-Hotel-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hotel-Cafeteria/Fast-food dining-People Definition,1,90.1-2007-Hotel-Cafeteria/Fast-food dining-Lights Definition,15,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Bars/Lounge,Thai Hotel Schedule Set,EIT-2016-Hotel-Bars/Lounge,EIT-2016-Hotel-Bars/Lounge-Ventilation,0.0038,0.0009,0,0,EIT-2016-Hotel-Bars/Lounge-People Definition,1,90.1-2007-Hotel-Bars/Lounge-Lights Definition,15,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Hotel,TH-2016-Hotel-Kitchen ,Thai Hotel Schedule Set,EIT-2016-Hotel-Kitchen,EIT-2016-Hotel-Kitchen-Ventilation,0.0038,0.0006,0,0,EIT-2016-Hotel-Kitchen-People Definition,0.2,90.1-2007-Hotel-Kitchen-Lights Definition,23,Thai Hotel Light Schedule Ruleset,Thai Hotel Activity Schedule Ruleset,Thai Hotel Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Restaurant-Dining ,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Restaurant-Dining,EIT-2016-Ent-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Ent-Restaurant-Dining-People Definition,0.7,90.1-2007-Ent-Restaurant-Dining-Lights Definition,23,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Cafeteria/Fast-food dining,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Cafeteria/Fast-food dining,EIT-2016-Ent-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Ent-Cafeteria/Fast-food dining-People Definition,1,90.1-2007-Ent-Cafeteria/Fast-food dining-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Bars/Lounge,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Bars/Lounge,EIT-2016-Ent-Bars/Lounge-Ventilation,0.0038,0.0009,0,0,EIT-2016-Ent-Bars/Lounge-People Definition,1,90.1-2007-Ent-Bars/Lounge-Lights Definition,15,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Kitchen ,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Kitchen,EIT-2016-Ent-Kitchen-Ventilation,0.0038,0.0006,0,0,EIT-2016-Ent-Kitchen-People Definition,0.2,90.1-2007-Ent-Kitchen-Lights Definition,23,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Corridor,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Corridor,EIT-2016-Ent-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Ent-Corridor-People Definition,0,90.1-2007-Ent-Corridor-Lights Definition,5,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Lobby,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Lobby,EIT-2016-Ent-Lobby-Ventilation,0.0025,0.0003,0,0,EIT-2016-Ent-Lobby-People Definition,0.1,90.1-2007-Ent-Lobby-Lights Definition,13,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Office space,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Office space,EIT-2016-Ent-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Ent-Office space-People Definition,0.05,90.1-2007-Ent-Office space-Lights Definition,12,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Entertainment Complex,TH-2016-Ent-Conference,Thai Entertainment Complex Schedule Set,EIT-2016-Ent-Conference,EIT-2016-Ent-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Ent-Conference-People Definition,0.5,90.1-2007-Ent-Conference-Lights Definition,14,Thai Entertainment Complex Light Schedule Ruleset,Thai Entertainment Complex Activity Schedule Ruleset,Thai Entertainment Complex Misc Occ
Thai Department Store,TH-2016-Dep-Sales ,Thai Department Store Schedule Set,EIT-2016-Dep-Sales,EIT-2016-Dep-Sales-Ventilation,0.0038,0.0006,0,0,EIT-2016-Dep-Sales-People Definition,0.15,90.1-2007-Dep-Sales-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Mall common area,Thai Department Store Schedule Set,EIT-2016-Dep-Mall common area,EIT-2016-Dep-Mall common area-Ventilation,0.0038,0.0003,0,0,EIT-2016-Dep-Mall common area-People Definition,0.4,90.1-2007-Dep-Mall common area-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Barbershop,Thai Department Store Schedule Set,EIT-2016-Dep-Barbershop,EIT-2016-Dep-Barbershop-Ventilation,0.0038,0.0003,0,0,EIT-2016-Dep-Barbershop-People Definition,0.25,90.1-2007-Dep-Barbershop-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Beauty salon,Thai Department Store Schedule Set,EIT-2016-Dep-Beauty salon,EIT-2016-Dep-Beauty salon-Ventilation,0.01,0.0006,0,0,EIT-2016-Dep-Beauty salon-People Definition,0.25,90.1-2007-Dep-Beauty salon-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Pet shop,Thai Department Store Schedule Set,EIT-2016-Dep-Pet shop,EIT-2016-Dep-Pet shop-Ventilation,0.0038,0.0009,0,0,EIT-2016-Dep-Pet shop-People Definition,0.1,90.1-2007-Dep-Pet shop-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Supermarket,Thai Department Store Schedule Set,EIT-2016-Dep-Supermarket,EIT-2016-Dep-Supermarket-Ventilation,0.0038,0.0003,0,0,EIT-2016-Dep-Supermarket-People Definition,0.08,90.1-2007-Dep-Supermarket-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Coin-operated laudries,Thai Department Store Schedule Set,EIT-2016-Dep-Coin-operated laudries,EIT-2016-Dep-Coin-operated laudries-Ventilation,0.0038,0.0006,0,0,EIT-2016-Dep-Coin-operated laudries-People Definition,0.2,90.1-2007-Dep-Coin-operated laudries-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Shipping,Thai Department Store Schedule Set,EIT-2016-Dep-Shipping,EIT-2016-Dep-Shipping-Ventilation,0.005,0.0006,0,0,EIT-2016-Dep-Shipping-People Definition,0.02,90.1-2007-Dep-Shipping-Lights Definition,5,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Warehouse,Thai Department Store Schedule Set,EIT-2016-Dep-Warehouse,EIT-2016-Dep-Warehouse-Ventilation,0.005,0.0003,0,0,EIT-2016-Dep-Warehouse-People Definition,0,90.1-2007-Dep-Warehouse-Lights Definition,10,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Photo studio,Thai Department Store Schedule Set,EIT-2016-Dep-Photo studio,EIT-2016-Dep-Photo studio-Ventilation,0.0025,0.0006,0,0,EIT-2016-Dep-Photo studio-People Definition,0.1,90.1-2007-Dep-Photo studio-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Refrigeration area,Thai Department Store Schedule Set,EIT-2016-Dep-Refrigeration area,EIT-2016-Dep-Refrigeration area-Ventilation,0.005,0.0009,0,0,EIT-2016-Dep-Refrigeration area-People Definition,0,90.1-2007-Dep-Refrigeration area-Lights Definition,18,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Bank vaults,Thai Department Store Schedule Set,EIT-2016-Dep-Bank vaults,EIT-2016-Dep-Bank vaults-Ventilation,0.0025,0.0003,0,0,EIT-2016-Dep-Bank vaults-People Definition,0.05,90.1-2007-Dep-Bank vaults-Lights Definition,16,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Bank lobby,Thai Department Store Schedule Set,EIT-2016-Dep-Bank lobby,EIT-2016-Dep-Bank lobby-Ventilation,0.0038,0.0003,0,0,EIT-2016-Dep-Bank lobby-People Definition,0.15,90.1-2007-Dep-Bank lobby-Lights Definition,16,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Corridor,Thai Department Store Schedule Set,EIT-2016-Dep-Corridor,EIT-2016-Dep-Corridor-Ventilation,0,0.0003,0,0,EIT-2016-Dep-Corridor-People Definition,0,90.1-2007-Dep-Corridor-Lights Definition,5,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Office space,Thai Department Store Schedule Set,EIT-2016-Dep-Office space,EIT-2016-Dep-Office space-Ventilation,0.0025,0.0003,0,0,EIT-2016-Dep-Office space-People Definition,0.05,90.1-2007-Dep-Office space-Lights Definition,12,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Conference,Thai Department Store Schedule Set,EIT-2016-Dep-Conference,EIT-2016-Dep-Conference-Ventilation,0.0025,0.0003,0,0,EIT-2016-Dep-Conference-People Definition,1.5,90.1-2007-Dep-Conference-Lights Definition,3,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Restaurant-Dining ,Thai Department Store Schedule Set,EIT-2016-Dep-Restaurant-Dining,EIT-2016-Dep-Restaurant-Dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Dep-Restaurant-Dining-People Definition,0.7,90.1-2007-Dep-Restaurant-Dining-Lights Definition,23,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Coffee station,Thai Department Store Schedule Set,EIT-2016-Dep-Coffee stations,EIT-2016-Dep-Coffee stations-Ventilation,0.0025,0.0003,0,0,EIT-2016-Dep-Coffee station-People Definition,0.2,90.1-2007-Dep-Coffee station-Lights Definition,15,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Cafeteria/Fast-food dining,Thai Department Store Schedule Set,EIT-2016-Dep-Cafeteria/Fast-food dining,EIT-2016-Dep-Cafeteria/Fast-food dining-Ventilation,0.0038,0.0009,0,0,EIT-2016-Dep-Cafeteria/Fast-food dining-People Definition,1,90.1-2007-Dep-Cafeteria/Fast-food dining-Lights Definition,15,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Bars/Lounge,Thai Department Store Schedule Set,EIT-2016-Depl-Bars/Lounge,EIT-2016-Depl-Bars/Lounge-Ventilation,0.0038,0.0009,0,0,EIT-2016-Dep-Bars/Lounge-People Definition,1,90.1-2007-Dep-Bars/Lounge-Lights Definition,15,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
Thai Department Store,TH-2016-Dep-Kitchen ,Thai Department Store Schedule Set,EIT-2016-Dep-Kitchen,EIT-2016-Dep-Kitchen-Ventilation,0.0038,0.0006,0,0,EIT-2016-Dep-Kitchen-People Definition,0.2,90.1-2007-Dep-Kitchen-Lights Definition,23,Thai Department Store Light Schedule Ruleset,Thai Department Store Activity Schedule Ruleset,Thai Department Store Misc Occ
